file_name,file_id,sentence_text,church_father_id,church_father_name,footnote_text,citation_parsed,detection_source,reference_type,patristic_work,patristic_text,confidence,notes
9914.xml,file9914,"Theodoreti exempla quottidie expecto sicut et exempla Apologiae vestrae, d. Bezae et Heidelbergensium.",p18346,Theodoret von Kyrrhos,,,TEI,,,,,
10484.xml,file10484,"Recte enim dictum est deum comprehensibilem non esse deumVgl. Augustin, Sermo CVII, 3, 5 (MPL XXXVIII 663)..",p18700,Augustinus von Hippo,"Vgl. Augustin, Sermo CVII, 3, 5 (MPL XXXVIII 663).","Augustin, Sermo CVII, 3, 5 (MPL XXXVIII 663).",TEI,,,,,
10484.xml,file10484,"Dei enim proprium est incomprehensibilemVgl. Athanasius von Alexandrien, Oratio contra gentes, 35 (MPG XXV 69). esse.",p18895,Athanasius von Alexandrien,"Vgl. Athanasius von Alexandrien, Oratio contra gentes, 35 (MPG XXV 69).","Alexandrien, Oratio contra gentes, 35 (MPG XXV 69).",TEI,,,,,
10309.xml,file10309,"Chrysostomus interpretans hunc locum ait: «Etiamsi apostolus sis, si evangelista»Johannes Chrysostomus, Commentarius in Epistolam ad Romanos, Homilia 23, 1 (MPG LX 615)..",p4541,Johannes Chrysostomus,"Johannes Chrysostomus, Commentarius in Epistolam ad Romanos, Homilia 23, 1 (MPG LX 615).","Romanos, Homilia 23, 1 (MPG LX 615).",TEI,,,,,
10309.xml,file10309,"Chrysostomus interpretans hunc locum ait: «Etiamsi apostolus sis, si evangelista»Johannes Chrysostomus, Commentarius in Epistolam ad Romanos, Homilia 23, 1 (MPG LX 615)..",p4541,Johannes Chrysostomus,"Johannes Chrysostomus, Commentarius in Epistolam ad Romanos, Homilia 23, 1 (MPG LX 615).","Romanos, Homilia 23, 1 (MPG LX 615).",TEI,,,,,
11981.xml,file11981,"Horum exemplum sequti sunt reges item nostri, Constantinus, Gratianus, Valentinianus et Theodosius,Die Kaiser Konstantin der Große (geb. um 280, gest. 337 n. Chr.), Flavius Valentinianus (geb. 321, gest. 375 n. Chr.), Flavius Gratianus (gest. 383 n. Chr.) und Theodosius I. (der Große; geb. 347, gest. 395 n. Chr.). qui, ut extat in Codice IustinianiEiner der vier Teile des ""Corpus iuris civilis"", der eine Sammlung von Kaiserkonstitutionen des 2. bis 6. Jh.s n. Chr. in zwölf Büchern darbietet. Siehe HBBW VII [Nr. 944] 56, Anm. 46., non modo christianam doctrinam et suis iuverunt legibus, quinimo et omnem paganismum proscripserunt, condemnarunt atque conculcaruntDies konnte damals aus den Kirchengeschichten des Sokrates Scholastikos (geb. um 380, gest. nach 439 n. Chr.) und des Sozomenos (5. Jh. n. Chr., abhängig von Sokrates) gelesen werden, dessen Texte durch Auszüge in der ""Historia ecclesiastica tripartita"" oder vollständig z.B. durch zwei in Basel 1535 und 1539 erschienene lateinische Ausgaben zugänglich waren (VD 16, E 4275; E 4276). Dass Bullinger diese Texte bereits kannte, auch wenn er erst später, im Oktober 1549, von Wolfgang Musculus die davon in Basel 1549 gedruckte Ausgabe (VD 16E 4278) erhalten sollte (s. HBBibl III 80), geht aus HBBW VII [Nr. 944] 55f mit Anm. 43 und HBBW XIII 241 mit Anm. 25f hervor..",p19014,Salamanes Hermeias Sozomenos,"Einer der vier Teile des ""Corpus iuris civilis"", der eine Sammlung von Kaiserkonstitutionen des 2. bis 6. Jh.s n. Chr. in zwölf Büchern darbietet. Siehe HBBW VII [Nr. 944] 56, Anm. 46.","Einer der vier Teile des ""Corpus iuris civilis"", der eine Sammlung von Kaiserkonstitutionen des 2. bis 6. Jh.s n. Chr. in zwölf Büchern darbietet.  HBBW VII [Nr. 944] 56, Anm. 46.",TEI,,,,,
11981.xml,file11981,"Qui enim coram idolis adorat, qui missae papisticae se facit participem, qui adhuc iuxta regulam Benedicti aut alius monachi vivit, qui pallium aut vestem illius adhuc gerit, ipso habitu, ipso cultu palam et in conspectu omnium fatetur ac vel silens loquitur, quod animus eius illis adhuc obstrictus inhaeret; si enim his nihil tribuit, si omnia Christo et veritati evangelicae tribuit, quare non abiectis illis relictisque haec prae se fert, agit et confitetur oreRöm 10, 10; 2Kor 4, 13., habitu, denique omni gestu et operatione?",p17828,Benedikt von Nursia,,,TEI,,,,,
4217.xml,file4217,"Obtulit autem mihi non semel iam, non regis, sed sui ipsius nomine opera d. Augustini et praeterea unum aut alterum librum quos apud me, amicum suum, μνημόσυνον et pignus amicitiae cupit relinquere aut etiam deponere, ut olim rediens iis mecum in commune utatur.",p18700,Augustinus von Hippo,,,TEI,,,,,
11995.xml,file11995,"Valde me solatur in istis dubiis temporibus, quod non certa solum, sed optima quoque de nobis constituit, qui solus rerum, velit nolit mundusHieronymus, Epistulae, 45, 7., potitur; illi nos, quam feliciter possumus, tam etiam, quanti quanti sumus, permittamus.",p18986,Sophronius Eusebius Hieronymus,,,TEI,,,,,
11567.xml,file11567,"Quare alias videbaturM: ut alias videretur anstelle von Quare alias videbatur. recte dicere: „fide propter Christum iusti sumus“, alias contra: „propter donatas virtutes iusti sumus“, quemadmodum ThomasThomas von Aquin. aut Plato loqui soletM: ut Thomas seu ut Plato loquitur anstelle von quemadmodum Thomas aut Plato loqui solet..Zur Vermischung von traditionellen und reformatorischen Elementen in der ursprünglichen Fassung des Rechtfertigungsartikels vgl. Lexutt 176-215.",p18357,Thomas von Aquin,,,TEI,,,,,
